playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475799,2021,Nino Niederreiter,CAR,R,other,23,283.0,4.0,8.09,0.51,0.73,0.33,0.57,0.29,0.55,41.0,1.2,1.14,0.05,0.03,0.03,0.32,0.44,0.96,1.14,0.96,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.14,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.01,0.0,0.0,1.15,1.15,0.97,4.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1135.0,0.0,0.0,0.0,1.0,1.2,1.14,0.96,1.14,0.96,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.14,0.0,0.0,0.0,4.0,2.0,2.0,0.01,0.0,0.0,1.15,1.15,0.97,3.9,1.11,0.93,1.11,0.93,2.0,3.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,3.0,0.07,0.12,0.92,0.0,0.0,0.0,8.0,5.0,5.0,0.13,0.0,0.0,1.24,1.24,1.02,4.38,1.61,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8475799,2021,Nino Niederreiter,CAR,R,all,23,19772.0,437.0,18.94,0.6,0.55,0.56,0.54,0.56,0.53,174.0,44.54,7.91,3.57,9.15,1.41,19.97,14.99,7.1,8.03,7.2,2.0,5.0,49.0,8.0,15.0,72.0,15.0,8.0,9.0,2.0,9.0,3.0,11.0,17.0,41.0,49.0,1.0,2.0,3.0,29.0,4.0,11.0,26.0,18.0,13.0,0.89,2.31,4.71,2.0,4.0,2.0,74.31,57.0,58.33,4.0,0.8,3.12,2.48,6.22,6.29,6.01,437.0,85.0,44.0,69.0,239.0,73.0,52.0,73.0,239.0,3.0,7.0,63377.0,2.0,8.0,3.0,10.0,191.77,21.73,20.1,22.19,20.5,198.0,65.0,79.0,342.0,23.0,23.0,5.0,186.0,48.0,29.0,5.18,6.22,10.32,7.0,11.0,5.0,352.81,263.0,269.45,2.89,6.49,6.76,17.86,18.14,17.61,154.27,14.64,13.71,14.32,13.4,143.0,65.0,64.0,272.0,9.0,19.0,4.0,145.0,45.0,18.0,4.35,5.3,5.0,2.0,3.0,4.0,262.96,208.0,202.61,2.2,3.85,3.94,12.89,12.63,12.08,59.59,49.38,1048.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0
8475799,2021,Nino Niederreiter,CAR,R,5on5,23,17520.0,386.0,18.94,0.58,0.54,0.55,0.55,0.55,0.55,131.0,38.0,6.05,3.0,8.16,1.2,16.87,12.72,5.44,6.17,5.54,2.0,4.0,43.0,5.0,15.0,63.0,12.0,6.0,8.0,1.0,9.0,2.0,9.0,14.0,37.0,42.0,1.0,2.0,3.0,28.0,2.0,9.0,22.0,17.0,9.0,0.78,2.14,3.13,1.0,3.0,2.0,65.31,48.0,49.33,4.0,0.64,2.22,2.31,4.38,4.45,4.36,386.0,66.0,43.0,67.0,210.0,61.0,50.0,60.0,215.0,3.0,7.0,48229.0,2.0,8.0,3.0,9.0,170.02,17.24,15.93,17.7,16.33,176.0,57.0,73.0,306.0,18.0,21.0,3.0,166.0,45.0,22.0,4.73,5.83,6.67,5.0,10.0,3.0,316.81,233.0,239.45,2.47,5.43,5.69,14.02,14.3,14.05,141.13,12.61,12.02,12.29,11.71,133.0,57.0,59.0,249.0,8.0,18.0,4.0,135.0,41.0,14.0,4.05,4.81,3.76,2.0,2.0,4.0,239.96,190.0,184.61,1.95,3.84,3.93,10.63,10.37,10.2,37.78,32.02,824.0,674.0,1.19,0.33,14.0,12.0,11.0,7.0
8475799,2021,Nino Niederreiter,CAR,R,4on5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475799,2021,Nino Niederreiter,CAR,R,5on4,23,1969.0,47.0,15.66,0.79,0.8,0.68,0.85,0.68,0.81,134.0,5.34,0.72,0.52,0.97,0.19,2.78,1.82,0.71,0.72,0.71,0.0,1.0,6.0,1.0,0.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.11,0.17,0.44,1.0,1.0,0.0,7.0,7.0,7.0,0.0,0.14,0.9,0.17,0.69,0.69,0.68,47.0,17.0,1.0,2.0,27.0,11.0,2.0,11.0,23.0,0.0,0.0,3909.0,0.0,0.0,0.0,0.0,20.55,3.35,3.21,3.35,3.21,22.0,6.0,4.0,32.0,5.0,2.0,2.0,20.0,3.0,5.0,0.45,0.38,2.51,2.0,1.0,2.0,32.0,28.0,28.0,0.41,1.07,1.07,2.69,2.69,2.6,9.23,0.91,0.76,0.91,0.76,8.0,5.0,2.0,15.0,1.0,1.0,0.0,9.0,3.0,1.0,0.23,0.37,0.32,0.0,1.0,0.0,15.0,13.0,13.0,0.12,0.01,0.01,1.02,1.02,0.86,9.15,2.27,123.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8476958,2021,Jaccob Slavin,CAR,D,other,29,2513.0,27.0,20.05,0.63,0.47,0.4,0.56,0.4,0.54,45.0,3.06,0.83,0.14,0.58,0.08,1.12,1.25,0.83,0.83,0.83,1.0,0.0,3.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0.05,0.1,0.68,0.0,0.0,0.0,6.0,4.0,4.0,1.0,0.04,0.0,0.0,0.87,0.87,0.86,27.0,4.0,8.0,4.0,11.0,1.0,1.0,8.0,17.0,0.0,0.0,1864.0,0.0,0.0,0.0,5.0,20.53,8.56,8.29,8.56,8.29,15.0,14.0,9.0,38.0,4.0,0.0,0.0,9.0,7.0,13.0,0.34,0.77,7.44,0.0,0.0,4.0,38.0,29.0,29.0,0.3,0.0,0.0,8.86,8.86,8.56,31.15,4.99,4.76,4.99,4.76,25.0,18.0,13.0,56.0,4.0,1.0,0.0,27.0,9.0,7.0,0.98,1.04,2.98,0.0,1.0,3.0,56.0,43.0,43.0,0.76,0.21,0.21,5.54,5.54,5.26,3.98,4.54,48.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0
8476958,2021,Jaccob Slavin,CAR,D,all,29,42014.0,773.0,24.18,0.55,0.55,0.54,0.56,0.54,0.55,39.0,61.14,3.08,3.56,16.52,2.06,35.52,27.27,3.03,3.08,3.03,7.0,7.0,63.0,25.0,45.0,133.0,15.0,1.0,1.0,0.0,17.0,3.0,27.0,39.0,62.0,87.0,3.0,6.0,0.0,25.0,27.0,15.0,82.0,5.0,1.0,1.82,0.58,0.68,1.0,0.0,0.0,133.71,88.0,88.69,13.0,0.76,0.37,0.28,3.55,3.57,3.53,773.0,79.0,115.0,132.0,447.0,108.0,79.0,112.0,474.0,0.0,0.0,62941.0,6.0,2.0,1.0,45.0,373.67,40.17,38.85,40.63,39.3,374.0,146.0,166.0,686.0,35.0,29.0,5.0,376.0,105.0,39.0,11.66,12.67,15.83,11.0,16.0,8.0,699.26,520.0,529.01,5.43,7.05,6.83,38.76,39.22,38.34,322.4,32.59,31.28,32.3,30.99,301.0,146.0,141.0,588.0,25.0,32.0,9.0,328.0,81.0,38.0,9.95,9.97,12.67,9.0,4.0,12.0,576.37,447.0,439.04,5.2,7.16,7.55,30.24,29.83,29.15,60.07,48.43,1109.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0
8476958,2021,Jaccob Slavin,CAR,D,5on5,29,31211.0,591.0,24.18,0.56,0.53,0.57,0.55,0.57,0.54,51.0,51.03,2.02,2.9,14.49,1.79,30.66,22.14,1.98,2.03,1.99,5.0,5.0,54.0,20.0,37.0,111.0,11.0,1.0,1.0,0.0,15.0,3.0,23.0,31.0,53.0,73.0,3.0,6.0,0.0,14.0,18.0,10.0,70.0,4.0,0.0,1.55,0.48,0.0,1.0,0.0,0.0,111.71,74.0,74.69,8.0,0.59,0.37,0.28,2.33,2.35,2.32,591.0,59.0,46.0,110.0,376.0,92.0,61.0,86.0,352.0,0.0,0.0,50238.0,6.0,2.0,1.0,32.0,297.37,26.05,25.31,26.51,25.75,301.0,114.0,135.0,550.0,26.0,23.0,2.0,307.0,88.0,20.0,9.63,10.79,5.62,10.0,14.0,2.0,563.26,415.0,424.01,4.1,4.38,4.45,25.69,26.14,25.77,231.37,20.18,19.27,19.89,18.97,217.0,100.0,97.0,414.0,18.0,23.0,7.0,239.0,55.0,23.0,7.14,6.82,6.22,9.0,2.0,7.0,402.37,317.0,309.04,3.12,4.55,5.1,18.2,17.79,17.46,40.27,35.33,861.0,712.0,2.97,0.25,41.0,3.0,38.0,3.0
8476958,2021,Jaccob Slavin,CAR,D,4on5,29,6494.0,120.0,24.18,0.18,0.28,0.2,0.23,0.24,0.26,44.0,1.32,0.04,0.06,0.16,0.04,0.49,1.21,0.04,0.04,0.04,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,5.0,4.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.02,0.0,0.0,0.06,0.06,0.06,120.0,2.0,61.0,13.0,44.0,6.0,13.0,12.0,89.0,0.0,0.0,4297.0,0.0,0.0,0.0,0.0,18.02,1.46,1.45,1.46,1.45,20.0,4.0,3.0,27.0,0.0,1.0,0.0,19.0,3.0,2.0,0.59,0.3,0.57,0.0,0.0,0.0,27.0,24.0,24.0,0.19,0.29,0.0,1.65,1.65,1.64,52.69,6.5,6.36,6.5,6.36,52.0,25.0,30.0,107.0,2.0,6.0,1.0,56.0,14.0,7.0,1.65,1.74,3.11,0.0,1.0,1.0,107.0,77.0,77.0,1.21,2.02,1.86,5.84,5.84,5.76,1.92,5.03,25.0,83.0,0.58,0.0,4.0,0.0,4.0,0.0
8476958,2021,Jaccob Slavin,CAR,D,5on4,29,1796.0,35.0,17.68,0.91,0.83,0.93,0.82,0.91,0.81,51.0,4.32,0.12,0.39,1.09,0.12,2.71,1.57,0.12,0.12,0.12,1.0,2.0,2.0,4.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,0.0,0.1,0.0,0.0,0.21,0.21,0.21,35.0,14.0,0.0,5.0,16.0,9.0,4.0,6.0,16.0,0.0,0.0,4378.0,0.0,0.0,0.0,3.0,36.35,4.04,3.74,4.04,3.74,36.0,14.0,19.0,69.0,5.0,5.0,3.0,39.0,7.0,4.0,1.04,0.79,2.21,1.0,2.0,2.0,69.0,50.0,50.0,0.83,2.38,2.38,2.49,2.49,2.28,3.37,0.38,0.38,0.38,0.38,3.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,2.0,0.0,0.09,0.28,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.05,0.01,0.01,0.42,0.42,0.42,10.82,2.22,116.0,25.0,0.07,0.0,2.0,0.0,2.0,0.0
